firstName,lastName,teams,primaryTeam,position,nationality,race,yearsActive,batHand,throwHand,awards,birthDay,deathDay,realName,nickNames,yearInducted,commentOne,commentTwo
Waite,Hoyt,"[""New York Yankees"", ""Boston Red Sox"", ""Detroit Tigers"", ""Philadelphia Athletics"", ""Brooklyn Dodgers"", ""Pittsburgh Pirates""]","[""New York Yankees""]",Pitcher,American,Caucasian,1918–1938,"[""Right""]","[""Right""]","[""3× World Series Champion (1923, 1927, 1928)""]",9/9/1899,8/25/1984,Waite Charles Hoyt,Schoolboy,1969,Ace of the Yankees during Ruth-Gehrig era.,Later became a famous radio broadcaster.
Cal,Hubbard,[],[],Umpire,American,Caucasian,1936–1951 (Umpire),[],[],[],10/31/1900,10/17/1977,Robert Calvin Hubbard,Cal,1976,Only person enshrined in both Baseball and Pro Football Hall of Fame.,Served as an MLB umpire for 16 seasons.
Carl,Hubbell,"[""New York Giants""]","[""New York Giants""]",Pitcher,American,Caucasian,1928–1943,"[""Left""]","[""Left""]","[""2× NL MVP"", ""9× All-Star""]",6/22/1903,11/21/1988,Carl Owen Hubbell,"King Carl, The Meal Ticket",1947,Known for his devastating screwball and 5 consecutive All-Star strikeouts (1934).,Spent entire career with Giants; one of the top lefties in MLB history.
Miller,Huggins,"[""Cincinnati Reds"", ""St. Louis Cardinals"", ""New York Yankees""]","[""New York Yankees""]",Manager / Second Baseman,American,Caucasian,"1904–1916 (player), 1913–1929 (manager)","[""Both""]","[""Right""]","[""6× AL Pennant"", ""3× World Series Champion (1923, 1927, 1928)""]",3/27/1879,9/25/1929,Miller James Huggins,Mighty Mite,1964,Legendary Yankees manager who led the team through its first dynasty.,Known for strategic brilliance despite small physical stature.
William,Hulbert,[],[],Executive / League Founder,American,Caucasian,1870s,[],[],[],10/23/1832,4/10/1882,William Ambrose Hulbert,,1995,Founder of the National League in 1876.,Pioneer in professionalizing and legitimizing organized baseball.
Catfish,Hunter,"[""Kansas City Athletics"", ""Oakland Athletics"", ""New York Yankees""]","[""Oakland Athletics""]",Pitcher,American,Caucasian,1965–1979,"[""Right""]","[""Right""]","[""5× World Series Champion"", ""1974 AL Cy Young Award"", ""8× All-Star""]",4/8/1946,9/9/1999,James Augustus Hunter,Catfish,1987,Pioneering free agent and key to multiple A's and Yankees championships.,Famed for his control and consistency in the clutch.
Monte,Irvin,"[""Newark Eagles"", ""New York Giants"", ""Chicago Cubs""]","[""New York Giants""]",Outfielder,American,African American,1938–1956 (including Negro Leagues),"[""Right""]","[""Right""]","[""Negro League World Series Champion"", ""MLB All-Star (1952)"", ""World Series Champion (1954)""]",2/25/1919,1/11/2016,Monford Merrill Irvin,Monte,1973,Bridged Negro Leagues to MLB; one of first African American MLB stars.,"Respected for talent, leadership, and grace in breaking barriers."
Reggie,Jackson,"[""Oakland Athletics"", ""Baltimore Orioles"", ""New York Yankees"", ""California Angels""]","[""New York Yankees""]",Right Fielder,American,African American,1967–1987,"[""Left""]","[""Right""]","[""14× All-Star"", ""5× World Series Champion"", ""1973 AL MVP"", ""2× World Series MVP""]",5/18/1946,,Reginald Martinez Jackson,Mr. October,1993,Known for clutch postseason performances and towering home runs.,Hit three home runs in Game 6 of the 1977 World Series.
Travis,Jackson,"[""New York Giants""]","[""New York Giants""]",Shortstop,American,Caucasian,1922–1936,"[""Right""]","[""Right""]",[],11/2/1903,7/27/1987,Travis Calvin Jackson,Stonewall,1982,One of the best defensive shortstops of the 1920s and '30s.,"Spent entire career with the Giants, winning the 1933 World Series."
Fergie,Jenkins,"[""Philadelphia Phillies"", ""Chicago Cubs"", ""Texas Rangers"", ""Boston Red Sox""]","[""Chicago Cubs""]",Pitcher,Canadian,Black Canadian,1965–1983,"[""Right""]","[""Right""]","[""1971 NL Cy Young Award"", ""3× All-Star""]",12/13/1942,,Ferguson Arthur Jenkins,Fergie,1991,First Canadian-born player inducted into the Hall of Fame.,One of the most durable and consistent pitchers of his era.
Hughie,Jennings,"[""Louisville Colonels"", ""Baltimore Orioles"", ""Brooklyn Superbas"", ""Philadelphia Phillies"", ""Detroit Tigers (Manager)""]","[""Baltimore Orioles""]",Shortstop / Manager,American,Caucasian,1891–1918,"[""Right""]","[""Right""]",[],4/2/1869,2/1/1928,Hugh Ambrose Jennings,,1945,Player-manager who led Detroit to three straight pennants (1907–1909).,Known for his fiery personality and willingness to be hit by pitches.
Derek,Jeter,"[""New York Yankees""]","[""New York Yankees""]",Shortstop,American,Mixed (African American and Caucasian),1995–2014,"[""Right""]","[""Right""]","[""14× All-Star"", ""5× Gold Glove"", ""5× Silver Slugger"", ""5× World Series Champion"", ""2000 World Series MVP""]",6/26/1974,,Derek Sanderson Jeter,The Captain,2020,"Yankees captain and icon known for leadership, clutch hitting, and consistency.","Ranked sixth all-time with 3,465 hits."
Ban,Johnson,"[""American League""]","[""American League""]",Executive / League President,American,Caucasian,1901–1927,[],[],[],1/5/1864,3/28/1931,Byron Bancroft Johnson,Ban,1937,Founder of the American League.,Instrumental in elevating the AL to Major League status.
Judy,Johnson,"[""Hilldale Daisies"", ""Homestead Grays""]","[""Hilldale Daisies""]",Third Baseman,American,African American,1920–1937,"[""Right""]","[""Right""]",[],10/26/1899,6/15/1989,William Julius Johnson,Judy,1975,One of the greatest third basemen in Negro Leagues history.,Known for his fielding excellence and leadership.
Randy,Johnson,"[""Seattle Mariners"", ""Arizona Diamondbacks"", ""Montreal Expos"", ""Houston Astros"", ""New York Yankees"", ""San Francisco Giants""]","[""Arizona Diamondbacks""]",Pitcher,American,Caucasian,1988–2009,"[""Right""]","[""Left""]","[""5× Cy Young Award"", ""10× All-Star"", ""World Series MVP""]",9/10/1963,Alive and well.,Randall David Johnson,The Big Unit,2015,One of the most dominant left-handed pitchers ever.,Known for his fastball and intimidating presence.
Walter,Johnson,"[""Washington Senators""]","[""Washington Senators""]",Pitcher,American,Caucasian,1907–1927,"[""Right""]","[""Right""]","[""2× AL MVP""]",11/6/1887,12/10/1946,Walter Perry Johnson,The Big Train,1936,One of the first five Hall of Fame inductees.,Held career strikeout record for over 50 years.
Chipper,Jones,"[""Atlanta Braves""]","[""Atlanta Braves""]",Third Baseman,American,Caucasian,1993–2012,"[""Switch""]","[""Right""]","[""1999 NL MVP"", ""8× All-Star"", ""World Series Champion 1995""]",4/24/1972,Alive and well.,Larry Wayne Jones Jr.,Chipper,2018,One of the greatest switch-hitters in MLB history.,Spent entire career with the Braves.
Addie,Joss,"[""Cleveland Bronchos"", ""Cleveland Naps""]","[""Cleveland Naps""]",Pitcher,American,Caucasian,1902–1910,"[""Right""]","[""Right""]",[],4/12/1880,4/14/1911,Adrian Joss,Addie,1978,"Pitched two no-hitters, including a perfect game in 1908.",Career ERA of 1.89—the second-lowest in MLB history.
Jim,Kaat,"[""Washington Senators"", ""Minnesota Twins"", ""Chicago White Sox"", ""Philadelphia Phillies"", ""New York Yankees"", ""St. Louis Cardinals""]","[""Minnesota Twins""]",Pitcher,American,Caucasian,1959–1983,"[""Left""]","[""Left""]","[""16× Gold Glove Award"", ""3× All-Star"", ""World Series Champion (1982)""]",11/7/1938,,James Lee Kaat,Kitty,2022,One of the longest careers in MLB history (25 seasons).,Elite defensive pitcher with 16 Gold Gloves.
Al,Kaline,"[""Detroit Tigers""]","[""Detroit Tigers""]",Right Fielder,American,Caucasian,1953–1974,"[""Right""]","[""Right""]","[""18× All-Star"", ""10× Gold Glove"", ""1968 World Series Champion""]",12/19/1934,4/6/2020,Albert William Kaline,Mr. Tiger,1980,Beloved Detroit icon and lifetime Tiger.,"3,007 career hits."
Tim,Keefe,"[""Troy Trojans"", ""New York Metropolitans"", ""New York Giants"", ""Philadelphia Phillies""]","[""New York Giants""]",Pitcher,American,Caucasian,1880–1893,"[""Right""]","[""Right""]",[],1/1/1857,4/23/1933,Timothy John Keefe,Sir Timothy,1964,Won 342 career games.,Pioneer of early pitching strategy and longevity.
Willie,Keeler,"[""New York Giants"", ""Brooklyn Bridegrooms"", ""Baltimore Orioles"", ""Brooklyn Superbas"", ""New York Highlanders""]","[""Baltimore Orioles""]",Right Fielder,American,Caucasian,1892–1910,"[""Left""]","[""Right""]",[],3/3/1872,1/1/1923,William Henry Keeler,Wee Willie,1939,Known for the phrase 'Hit 'em where they ain't.',Lifetime batting average of .341.
George,Kell,"[""Philadelphia Athletics"", ""Detroit Tigers"", ""Boston Red Sox"", ""Chicago White Sox"", ""Baltimore Orioles""]","[""Detroit Tigers""]",Third Baseman,American,Caucasian,1943–1957,"[""Right""]","[""Right""]","[""10× All-Star"", ""1949 AL Batting Champion""]",8/23/1922,3/24/2009,George Clyde Kell,,1983,One of the best contact hitters of his era.,Later became a beloved broadcaster for the Tigers.
Joe,Kelley,"[""Boston Beaneaters"", ""Pittsburgh Pirates"", ""Baltimore Orioles"", ""Brooklyn Superbas"", ""Cincinnati Reds"", ""Boston Doves""]","[""Baltimore Orioles""]",Outfielder,American,Caucasian,1891–1908,"[""Left""]","[""Right""]",[],12/9/1871,8/14/1943,Joseph James Kelley,,1971,Star hitter in the 1890s with multiple .300+ seasons.,Managed briefly after playing career.
George,Kelly,"[""New York Giants"", ""Cincinnati Reds"", ""Chicago Cubs""]","[""New York Giants""]",First Baseman,American,Caucasian,1915–1932,"[""Left""]","[""Left""]",[],9/10/1895,10/13/1984,George Lange Kelly,High Pockets,1973,Key player in Giants' 1920s success.,Known for excellent fielding.
King,Kelly,"[""Cincinnati Reds"", ""Chicago White Stockings"", ""Boston Beaneaters""]","[""Chicago White Stockings""]",Catcher / Outfielder,American,Caucasian,1878–1893,"[""Right""]","[""Right""]",[],12/31/1857,11/8/1894,Michael Joseph Kelly,King,1945,One of the first baseball superstars.,"Subject of the song 'Slide, Kelly, Slide.'"
Harmon,Killebrew,"[""Washington Senators"", ""Minnesota Twins"", ""Kansas City Royals""]","[""Minnesota Twins""]",First Baseman / Third Baseman,American,Caucasian,1954–1975,"[""Right""]","[""Right""]","[""13× All-Star"", ""1969 AL MVP""]",6/29/1936,5/17/2011,Harmon Clayton Killebrew Jr.,Killer,1984,One of MLB's greatest power hitters with 573 home runs.,Face of the Minnesota Twins franchise.
Ralph,Kiner,"[""Pittsburgh Pirates"", ""Chicago Cubs"", ""Cleveland Indians""]","[""Pittsburgh Pirates""]",Outfielder,American,Caucasian,1946–1955,"[""Right""]","[""Right""]","[""7× NL Home Run Leader"", ""6× All-Star""]",10/27/1922,2/6/2014,Ralph McPherran Kiner,,1975,Led NL in home runs 7 consecutive seasons.,Longtime beloved Mets broadcaster after playing career.
Chuck,Klein,"[""Philadelphia Phillies"", ""Chicago Cubs"", ""Pittsburgh Pirates""]","[""Philadelphia Phillies""]",Outfielder,American,Caucasian,1928–1944,"[""Left""]","[""Right""]","[""1932 NL MVP"", ""4× All-Star""]",10/7/1904,3/28/1958,Charles Herbert Klein,,1980,Won the Triple Crown in 1933.,One of the top hitters of the 1930s.
Bill,Klem,[],[],Umpire,American,Caucasian,1905–1941,[],[],[],2/22/1874,9/16/1951,William Joseph Klem,The Old Arbitrator,1953,"Pioneering umpire, officiated a record 18 World Series.",Known for firm authority and innovation in umpiring.
Sandy,Koufax,"[""Brooklyn Dodgers"", ""Los Angeles Dodgers""]","[""Los Angeles Dodgers""]",Pitcher,American,Caucasian,1955–1966,"[""Right""]","[""Left""]","[""3× Cy Young Award"", ""1963 NL MVP"", ""7× All-Star"", ""4× World Series Champion""]",12/30/1935,,Sanford Koufax,,1972,One of the greatest pitchers in MLB history.,Retired early at 30 due to arm injuries.
Bowie,Kuhn,[],[],Commissioner,American,Caucasian,1969–1984 (Commissioner),[],[],[],10/28/1926,3/15/2007,Bowie Kent Kuhn,,2008,Oversaw MLB through major changes including free agency.,Known for handling multiple labor disputes.
Nap,Lajoie,"[""Philadelphia Phillies"", ""Philadelphia Athletics"", ""Cleveland Naps""]","[""Cleveland Naps""]",Second Baseman,American,Caucasian,1896–1916,"[""Right""]","[""Right""]",[],9/5/1874,2/7/1959,Napoleon Lajoie,Larry,1937,One of the greatest hitters of the early 20th century.,Led the AL in batting average five times.
Kenesaw,Landis,[],[],Commissioner,American,Caucasian,1920–1944 (Commissioner),[],[],[],11/20/1866,11/25/1944,Kenesaw Mountain Landis,,1944,"First Commissioner of Baseball, appointed after the Black Sox Scandal.","Served for over two decades, establishing the office’s authority."
Barry,Larkin,"[""Cincinnati Reds""]","[""Cincinnati Reds""]",Shortstop,American,African American,1986–2004,"[""Right""]","[""Right""]","[""1995 NL MVP"", ""12× All-Star"", ""9× Silver Slugger"", ""3× Gold Glove""]",4/28/1964,,Barry Louis Larkin,,2012,Spent entire career with Reds; key leader on 1990 World Series team.,One of the most respected shortstops of his generation.
Tony,La Russa,[],[],Manager,American,Caucasian,"1979–2011, 2021",[],[],"[""4× Manager of the Year"", ""3× World Series Champion""]",10/4/1944,,Anthony La Russa Jr.,,2014,"Managed White Sox, Athletics, and Cardinals with legendary success.",Third-most wins in MLB managerial history.
Tommy,Lasorda,[],"[""Los Angeles Dodgers""]",Manager,American,Caucasian,1976–1996 (Manager),[],[],"[""2× World Series Champion"", ""2× NL Manager of the Year""]",9/22/1927,1/7/2021,Thomas Charles Lasorda,,1997,"[""Managed Dodgers to four NL pennants."", "" Hated by Fletch!""]",Beloved ambassador of the game with fiery passion.
Tony,Lazzeri,"[""New York Yankees"", ""Chicago Cubs"", ""Brooklyn Dodgers"", ""New York Giants""]","[""New York Yankees""]",Second Baseman,American,Caucasian (Italian-American),1926–1939,"[""Right""]","[""Right""]",[],12/6/1903,8/6/1946,Anthony Michael Lazzeri,Poosh 'Em Up Tony,1991,Key member of the famed 'Murderers' Row' Yankees.,One of the first Italian-American stars in MLB.
Bob,Lemon,"[""Cleveland Indians""]","[""Cleveland Indians""]",Pitcher,American,Caucasian,1941–1958,"[""Left""]","[""Right""]","[""7× All-Star"", ""3× AL Strikeout Leader""]",9/22/1920,1/11/2000,Robert Granville Lemon,,1976,Over 200 career wins as a Cleveland Indians starter.,Helped lead the 1948 World Series champions.
Buck,Leonard,"[""Homestead Grays""]","[""Homestead Grays""]",First Baseman,American,African American,1933–1950,"[""Left""]","[""Left""]","[""11× East–West All-Star"", ""3× Negro World Series Champion""]",9/8/1907,11/27/1997,Walter Fenner Leonard,Buck,1972,One of the greatest hitters in Negro Leagues history.,Played entire career with the Grays; known as the 'Black Lou Gehrig.'
Jim,Leyland,"[""Pittsburgh Pirates"", ""Florida Marlins"", ""Colorado Rockies"", ""Detroit Tigers""]",[],Manager,American,Caucasian,1986–2013 (Manager),[],[],"[""3× Manager of the Year"", ""1997 World Series Champion""]",12/15/1944,,James Richard Leyland,,2024,Managed three different teams to postseason; won World Series with Marlins in 1997.,Elected by Contemporary Era Committee in 2024; Tigers retired his No. 10.
Freddie,Lindstrom,"[""New York Giants"", ""Pittsburgh Pirates"", ""Chicago Cubs"", ""Brooklyn Dodgers""]","[""New York Giants""]",Third Baseman / Outfielder,American,Caucasian,1924–1936,"[""Right""]","[""Right""]","[""Hall of Fame (1976)""]",11/21/1905,10/04/1981,Frederick Charles Lindstrom,,1976,Hit .311 over a 13-year career.,One of the youngest players in 1924 World Series.
John Henry,Lloyd,"[""Cuban X-Giants"", ""Hilldale Daisies"", ""Chicago Leland Giants"", ""various Negro league clubs""]","[""Hilldale Daisies""]",Shortstop / Second Baseman / First Baseman,American,African American,1905–1932,"[""Left""]","[""Right""]","[""Hall of Fame (1977)""]",04/25/1884,03/19/1964,John Henry Lloyd,"Pop, El Cuchara",1977,Considered greatest shortstop in Negro leagues.,Managed Hilldale to first Eastern Colored League pennant.
Ernie,Lombardi,"[""Brooklyn Robins"", ""Cincinnati Reds"", ""Boston Braves"", ""New York Giants""]","[""Cincinnati Reds""]",Catcher,American,Caucasian,1931–1947,"[""Right""]","[""Right""]","[""Hall of Fame (1986)"", ""NL MVP (1938)"", ""2× NL batting champion"", ""8× All-Star"", ""World Series champion""]",04/06/1908,09/26/1977,Ernesto Natali Lombardi,Schnozz,1986,"Hit .306 with nearly 2,000 hits over 17 seasons.",Known as 'the slowest man to ever play major league baseball well.'
Alfonso Ramón,López,"[""Brooklyn Robins/Dodgers"", ""Boston Bees"", ""Pittsburgh Pirates"", ""Cleveland Indians""]","[""Cleveland Indians""]",Catcher / Manager,American,Caucasian,1928–1947 as player; 1951–1969 as manager,"[""Right""]","[""Right""]","[""Hall of Fame (1977)"", ""2× All‑Star"", ""Led Indians to 1954 AL pennant"", ""Led White Sox to 1959 AL pennant""]",08/20/1908,10/30/2005,Alfonso Ramón López,El Señor,1977,"Set MLB record for games caught (1,918).",Respected manager with .584 career winning percentage.
Ted,Lyons,"[""Chicago White Sox""]","[""Chicago White Sox""]",Pitcher,American,Caucasian,1923–1946,"[""Right""]","[""Right""]","[""All-Star (1939)"", ""ERA leader 3×""]",12/28/1900,7/25/1986,Theodore Amar Lyons,Sunday Teddy,1955,Pitched his entire career for the White Sox.,Won 260 games with a 3.67 ERA.
Connie,Mack,"[""Pittsburgh Pirates"", ""Philadelphia Athletics""]","[""Philadelphia Athletics""]",Manager / Owner,American,Caucasian,1886–1950,"[""Right""]","[""Right""]","[""5× World Series champion (1910, 1911, 1913, 1929, 1930)""]",12/22/1862,2/8/1956,Cornelius McGillicuddy,The Tall Tactician,1937,Managed the Philadelphia Athletics for 50 years.,Known for his gentlemanly demeanor and suit-wearing on the field.
Biz,Mackey,"[""Hilldale Daisies"", ""Baltimore Black Sox"", ""Philadelphia Stars""]","[""Hilldale Daisies""]",Catcher / Manager,American,African American,1920–1947,"[""Switch""]","[""Right""]",[],7/27/1897,9/22/1965,James Raleigh Mackey,Biz,2006,Legendary Negro Leagues catcher and mentor to Roy Campanella.,Renowned for his defense and leadership.
Larry,MacPhail,"[""Cincinnati Reds"", ""Brooklyn Dodgers"", ""New York Yankees""]","[""Brooklyn Dodgers""]",Executive / General Manager,American,Caucasian,1933–1947,[],[],[],2/3/1890,10/1/1975,Leland Stanford MacPhail Sr.,,1978,Introduced night baseball and airplane travel to MLB.,A visionary front office leader.
Lee,MacPhail,"[""New York Yankees"", ""Baltimore Orioles""]","[""New York Yankees""]",Executive / League President,American,Caucasian,1945–1984,[],[],[],10/25/1917,11/8/2012,Leland Stanford MacPhail Jr.,,1998,President of the American League and key in MLB labor relations.,Only father-son pair in Hall of Fame.
Greg,Maddux,"[""Chicago Cubs"", ""Atlanta Braves"", ""Los Angeles Dodgers"", ""San Diego Padres""]","[""Atlanta Braves""]",Pitcher,American,Caucasian,1986–2008,"[""Right""]","[""Right""]","[""4× Cy Young Award"", ""18× Gold Glove""]",4/14/1966,,Gregory Alan Maddux,Mad Dog,2014,One of the greatest control pitchers in MLB history.,Won 355 games with pinpoint accuracy.
Effa,Manley,"[""Newark Eagles""]","[""Newark Eagles""]",Owner / Executive,American,African American,1935–1948,[],[],[],3/27/1897,4/16/1981,Effa Louise Brooks,,2006,First woman inducted into the Hall of Fame.,"Co-owned Newark Eagles, champion of civil rights."
Mickey,Mantle,"[""New York Yankees""]","[""New York Yankees""]",Outfielder / First Baseman,American,Caucasian,1951–1968,"[""Switch""]","[""Right""]","[""3× MVP"", ""7× World Series champion""]",10/20/1931,8/13/1995,Mickey Charles Mantle,The Mick,1974,One of the greatest switch hitters in MLB history.,Known for prodigious home runs and speed.
Heinie,Manush,"[""Detroit Tigers"", ""St. Louis Browns"", ""Washington Senators"", ""Boston Red Sox"", ""Brooklyn Dodgers"", ""Pittsburgh Pirates""]","[""Detroit Tigers""]",Left Fielder,American,Caucasian,1923–1939,"[""Left""]","[""Right""]","[""AL Batting Champion (1926)""]","July 20, 1901","May 12, 1971",Henry Emmett Manush,Heinie,1964,Won American League batting title in 1926 with .378 average.,Known for his consistent hitting and aggressive play.
Rabbit,Maranville,"[""Boston Braves"", ""Pittsburgh Pirates"", ""Chicago Cubs"", ""Brooklyn Robins"", ""St. Louis Cardinals""]","[""Boston Braves""]",Shortstop,American,Caucasian,1912–1935,"[""Right""]","[""Right""]","[""World Series Champion (1914)""]","November 11, 1891","January 5, 1954",Walter James Vincent Maranville,"[""Rabbit""]",1954,Famous for his fielding brilliance and colorful personality.,"Played over 2,670 games, one of the longest careers of his era."
Juan,Marichal,"[""San Francisco Giants"", ""Boston Red Sox"", ""Los Angeles Dodgers""]","[""San Francisco Giants""]",Pitcher,Dominican,Latino,1960–1975,"[""Right""]","[""Right""]","[""10× All-Star"", ""Pitched a no-hitter (1963)""]","October 20, 1937",,Juan Antonio Marichal Sánchez,"[""The Dominican Dandy""]",1983,Known for his towering leg kick and control.,First Dominican-born player inducted into the Hall of Fame.
Rube,Marquard,"[""New York Giants"", ""Brooklyn Robins"", ""Cincinnati Reds"", ""Boston Braves""]","[""New York Giants""]",Pitcher,American,Caucasian,1908–1925,"[""Left""]","[""Left""]","[""3× NL Pennant Winner""]","October 9, 1886","June 1, 1980",Richard William Marquard,"[""Rube""]",1971,Set an MLB record with 19 straight wins in 1912.,Won over 200 games in a lengthy career.
Edgar,Martinez,"[""Seattle Mariners""]","[""Seattle Mariners""]",Designated Hitter / Third Baseman,Puerto Rican,Latino,1987–2004,"[""Right""]","[""Right""]","[""7× All-Star"", ""5× Silver Slugger"", ""2× AL Batting Champion""]","January 2, 1963",,Edgar Martínez,"[""Papi""]",2019,"One of MLB's greatest pure hitters, lifetime .312 batting average.",The annual DH award is named after him.
Pedro,Martinez,"[""Los Angeles Dodgers"", ""Montreal Expos"", ""Boston Red Sox"", ""New York Mets"", ""Philadelphia Phillies""]","[""Boston Red Sox""]",Pitcher,Dominican,Latino,1992–2009,"[""Right""]","[""Right""]","[""3× Cy Young Award"", ""8× All-Star"", ""2004 World Series Champion""]","October 25, 1971",,Pedro Jaime Martínez,"[""Pedro""]",2015,One of the most dominant and electrifying pitchers in MLB history.,Helped break Boston's 86-year championship drought in 2004.
Eddie,Mathews,"[""Boston Braves"", ""Milwaukee Braves"", ""Atlanta Braves"", ""Houston Astros"", ""Detroit Tigers""]","[""Milwaukee Braves""]",Third Baseman,American,Caucasian,1952–1968,"[""Left""]","[""Right""]","[""9× All-Star"", ""1957 World Series Champion""]","October 13, 1931","February 18, 2001",Edwin Lee Mathews,"[""Eddie""]",1978,One of the greatest power-hitting third basemen ever.,Hit 512 career home runs.
Christy,Mathewson,"[""New York Giants"", ""Cincinnati Reds""]","[""New York Giants""]",Pitcher,American,Caucasian,1900–1916,"[""Right""]","[""Right""]","[""373 career wins"", ""World Series Champion (1905)""]","August 12, 1880","October 7, 1925",Christopher Mathewson,"[""Big Six"", ""The Christian Gentleman""]",1936,One of the original five Hall of Fame inductees.,Renowned for his sportsmanship and character.
Joe,Mauer,"[""Minnesota Twins""]","[""Minnesota Twins""]",Catcher / First Baseman,American,Caucasian,2004–2018,"[""Left""]","[""Right""]","[""6× All-Star"", ""2009 AL MVP"", ""3× Gold Glove"", ""5× Silver Slugger""]","April 19, 1983",,Joseph Patrick Mauer,"[""Mauer""]",2024,First catcher in MLB history to win three batting titles.,Spent his entire 15-year career with the Twins.
Willie,Mays,"[""New York Giants"", ""San Francisco Giants"", ""New York Mets""]","[""San Francisco Giants""]",Center Fielder,American,African American,1951–1973,"[""Right""]","[""Right""]","[""24× All-Star"", ""2× NL MVP"", ""12× Gold Glove"", ""World Series Champion (1954)""]",5/6/1931,6/18/2024,Willie Howard Mays Jr.,The Say Hey Kid,1979,Arguably the most complete player in MLB history.,Famous for his over-the-shoulder catch in the 1954 World Series.
Bill,Mazeroski,"[""Pittsburgh Pirates""]","[""Pittsburgh Pirates""]",Second Baseman,American,Caucasian,1956–1972,"[""Right""]","[""Right""]","[""10× All-Star"", ""8× Gold Glove"", ""2× World Series Champion""]","September 5, 1936",,William Stanley Mazeroski,"[""Maz""]",2001,Hit the only Game 7 walk-off home run in World Series history (1960).,Regarded as one of the greatest defensive second basemen ever.
Joe,McCarthy,"[""New York Yankees"", ""Chicago Cubs"", ""Boston Red Sox""]","[""New York Yankees""]",Manager,American,Caucasian,1926–1950 (Manager),[],[],"[""7× World Series champion (1932, 1936–1939, 1941, 1943)""]","April 21, 1887","January 13, 1978",Joseph Vincent McCarthy,[],1957,One of the most successful managers in baseball history.,Managed the Yankees to seven World Series titles.
Tommy,McCarthy,"[""Boston Beaneaters"", ""Philadelphia Quakers""]","[""Boston Beaneaters""]",Outfielder,American,Caucasian,1884–1896,[],[],[],"July 24, 1863","August 5, 1922",Thomas Francis Michael McCarthy,[],1946,Known for his baserunning and innovative strategies.,Inducted by the Veterans Committee.
Willie,McCovey,"[""San Francisco Giants"", ""San Diego Padres"", ""Oakland Athletics""]","[""San Francisco Giants""]",First Baseman,American,African American,1959–1980,"[""Left""]","[""Left""]","[""NL MVP (1969)"", ""6× All-Star"", ""Rookie of the Year (1959)""]","January 10, 1938","October 31, 2018",Willie Lee McCovey,"[""Stretch""]",1986,One of the most feared power hitters of his era.,McCovey Cove outside Oracle Park is named in his honor.
Joe,McGinnity,"[""Baltimore Orioles"", ""New York Giants""]","[""New York Giants""]",Pitcher,American,Caucasian,1899–1908,[],"[""Right""]",[],"March 19, 1871","November 14, 1929",Joseph Jerome McGinnity,"[""Iron Man""]",1946,Nicknamed 'Iron Man' for pitching two complete games in one day multiple times.,A dominant pitcher of the early 1900s.
Bill,McGowan,[],[],Umpire,American,Caucasian,1925–1954,[],[],[],"January 18, 1896","December 9, 1954",William Aloysius McGowan,[],1992,Officiated in 8 World Series and 4 All-Star Games.,Known for his authoritative presence and consistency behind the plate.
John,McGraw,"[""Baltimore Orioles"", ""New York Giants""]","[""New York Giants""]",Manager,American,Caucasian,1891–1932,[],[],"[""3× World Series champion (1905, 1921, 1922)""]","April 7, 1873","February 25, 1934",John Joseph McGraw,"[""Little Napoleon""]",1937,Managed the New York Giants for three decades.,Known for his fiery competitive spirit and tactical brilliance.
Fred,McGriff,"[""Toronto Blue Jays"", ""San Diego Padres"", ""Atlanta Braves"", ""Tampa Bay Devil Rays"", ""Chicago Cubs"", ""Los Angeles Dodgers""]","[""Atlanta Braves""]",First Baseman,American,African American,1986–2004,"[""Left""]","[""Right""]","[""5× All-Star"", ""World Series champion (1995)"", ""3× Silver Slugger Award""]","October 31, 1963",,Fred McGriff,"[""Crime Dog""]",2023,One of the most consistent power hitters of his era.,Reached the 30-HR mark 10 times in his career.
Bill,McKechnie,"[""Pittsburgh Pirates"", ""St. Louis Cardinals"", ""Boston Braves"", ""Cincinnati Reds""]","[""Pittsburgh Pirates""]",Manager,American,Caucasian,1915–1946,[],[],"[""2× World Series champion (1925, 1940)""]","August 7, 1886","October 29, 1965",William Boyd McKechnie,"[""Deacon""]",1962,One of the first managers to win pennants with three different teams.,Known for his calm leadership style.
Bid,McPhee,"[""Cincinnati Reds""]","[""Cincinnati Reds""]",Second Baseman,Scottish-American,Caucasian,1882–1899,"[""Right""]","[""Right""]",[],"November 1, 1859","January 3, 1943",John Alexander McPhee,[],2000,Last major leaguer to play his entire career without a glove.,Known for defensive excellence.
Joe,Medwick,"[""St. Louis Cardinals"", ""Brooklyn Dodgers"", ""New York Giants"", ""Boston Braves""]","[""St. Louis Cardinals""]",Left Fielder,American,Caucasian,1932–1948,"[""Right""]","[""Right""]","[""Triple Crown (1937)"", ""NL MVP (1937)"", ""10× All-Star"", ""World Series champion (1934)""]","November 24, 1911","March 21, 1975",Joseph Michael Medwick,"[""Ducky""]",1968,Won the Triple Crown in 1937.,Key player in the 'Gashouse Gang' Cardinals.
